,player_id,team_name,player,vaep_value,count,minutes_played,vaep_rating
0,15623,Netherlands Women's,Vivianne Miedema,5.2571577876337106,493,683,0.6927440715769164
1,5085,United States Women's,Alex Morgan,4.875153200464789,345,510,0.860321153023198
2,25673,Thailand Women's,Suchawadee Nildhamrong,4.418277226650389,201,283,1.4051058317969434
3,4999,United States Women's,Lindsey Horan,3.9209844283032,530,388,0.9095066972868247
4,4961,Australia Women's,Samantha Kerr,3.909881042127381,284,408,0.8624737592928047
5,8298,United States Women's,Megan Rapinoe,3.8973209285674386,554,434,0.8082001925600679
6,10125,France Women's,Wendie Renard,3.697265581213287,602,504,0.6602259966452299
7,10123,France Women's,Amandine Henry,3.63770543737337,527,504,0.6495902566738161
8,10220,Sweden Women's,Kosovare Asllani,3.6314874864309097,615,636,0.5138897386458835
9,10178,England Women's,Lucy Bronze,3.5750119594013086,1078,667,0.48238542180827254
10,10180,England Women's,Ellen White,3.560345009274897,290,537,0.5967058674762398
11,10185,England Women's,Stephanie Houghton,3.126090442528948,897,667,0.42181130408936335
12,5097,United States Women's,Carli Lloyd,2.756771439293516,209,238,1.0424765946908254
13,10657,Netherlands Women's,Desiree van Lunteren,2.6191552395757753,947,691,0.3411345463991603
14,10263,Germany Women's,Sara Däbritz,2.4452654734097887,455,471,0.4672481796324437
15,13881,Sweden Women's,Eva Sofia Jakobsson,2.438266524348059,393,608,0.36092761051204814
16,5081,United States Women's,Abby Dahlkemper,2.4280882745515555,756,656,0.33312186693542684
17,25554,Jamaica Women's,Khadija Monifa Shaw,2.4179685480339685,243,281,0.774438324993086
18,10654,Netherlands Women's,Jackie Groenen,2.2797873569797957,822,672,0.30532866388122265
19,13479,Norway Women's,Isabell Herlovsen,2.245525214835652,226,430,0.46999364961676443
20,10230,Sweden Women's,Linda Sembrant,2.2206760937406216,623,703,0.2842970817022133
21,5087,United States Women's,Samantha Mewis,2.202600950098713,566,497,0.3988613390520808
22,25628,Cameroon Women's,Ajara Nchout,2.1439134088123684,275,293,0.6585399549253009
23,25631,Cameroon Women's,Jeannette Yango,2.140596500437823,295,355,0.5426864367307157
24,10225,Italy Women's,Aurora Galli,2.1366232802101877,232,322,0.597192842294773
25,5088,United States Women's,Crystal Dunn,2.12540474520938,723,575,0.3326720470762508
26,15293,Brazil Women's,Cristiane,2.0210051320464117,160,297,0.6124257975898217
27,5076,Australia Women's,Emily van Egmond,2.008835192987812,667,399,0.4531207202228147
28,10224,Sweden Women's,Sara Caroline Seger,2.002796899105306,741,642,0.2807659204353232
29,10645,Netherlands Women's,Sherida Spitse,1.9856411571118517,914,666,0.2683298860961962
30,10252,England Women's,Alex Greenwood,1.9755465369425949,570,381,0.46666453628565235
31,25749,China PR Women's,Li Ying,1.9566759273729986,221,266,0.6620332085096612
32,5021,United States Women's,"Kelley O""Hara",1.940777779178461,625,514,0.33982490296899126
33,5052,South Africa Women's,Thembi Kgatlana,1.9325787762354594,135,238,0.7308071002571065
34,6811,United States Women's,Julie Ertz,1.9246473965176847,421,498,0.3478278427441599
35,4949,United States Women's,Rose Lavelle,1.904951209402876,450,427,0.4015119645111448
36,10514,Norway Women's,Guro Reiten,1.8636228765257403,397,474,0.3538524449099507
37,10215,Sweden Women's,Fridolina Rolfö,1.8160056825694628,391,359,0.4552660485550185
38,25641,Argentina Women's,Soledad Jaimes,1.8123820753826294,168,251,0.6498581146790304
39,10121,France Women's,Eugénie Le Sommer,1.756098812489654,438,429,0.3684123382845428
40,24693,Sweden Women's,Hanna Glas,1.7463265379192308,666,640,0.24557716939489183
41,10137,France Women's,Kadidiatou Diani,1.7101210524851922,348,442,0.34821469394494864
42,25492,Germany Women's,Giulia Gwinn,1.671937271981733,505,471,0.31947845961434385
43,6817,United States Women's,Christen Press,1.6363083598776722,316,293,0.5026203153207867
44,10647,Netherlands Women's,Stefanie,1.6356271314725745,650,497,0.2961900238079109
45,10656,Netherlands Women's,Lineth Beerensteyn,1.6064296590775484,177,292,0.49513242916773753
46,25659,Netherlands Women's,Merel van Dongen,1.5878710482647875,557,430,0.3323451031251881
47,25744,Australia Women's,Emily Gielnik,1.5756489478856093,214,180,0.7878244739428045
48,5082,Brazil Women's,Marta,1.5706479994646507,268,249,0.5677040961920424
49,15290,Canada Women's,Ashley Lawrence,1.5541154891543556,529,377,0.37100900271589393
50,10376,Germany Women's,Carolin Simon,1.5410398531091634,299,186,0.7456644450528209
51,10261,Germany Women's,Sara Doorsoun-Khajeh,1.5203516471810872,591,471,0.2905130536014816
52,25612,Canada Women's,Jessie Fleming,1.5106550283493707,443,377,0.3606338263964015
53,5043,Canada Women's,Nichelle Prince,1.4997944912902312,207,220,0.6135522918914582
54,10200,Spain Women's,Marta Corredera Rueda,1.4845151315967087,485,380,0.35159568906237837
55,10203,Italy Women's,Cristiana Girelli,1.4733376389631303,302,282,0.47021414009461604
56,5095,Australia Women's,Ellie Carpenter,1.4656733853335027,511,405,0.32570519674077836
57,10649,Netherlands Women's,Lieke Martens,1.433904292207444,609,558,0.23127488583991035
58,15178,Germany Women's,Alexandra Popp,1.4240831606875872,381,471,0.2721178014052714
59,10375,Sweden Women's,Nilla Fischer,1.401192526172963,662,575,0.2193170910531594
60,10259,Germany Women's,Lina Magull,1.3666634920112557,393,318,0.3867915543428082
61,15357,Canada Women's,Kadiesha Buchanan,1.339393508475041,427,377,0.3197491134290549
62,25610,Japan Women's,Mana Iwabuchi,1.3328962406812934,291,302,0.3972207339778689
63,25547,Australia Women's,Chloe Logarzo,1.3232213621489937,381,372,0.3201342005199178
